 
Rerun routine. 
sstaysinglew    0.1449000000
mm    0.0000000000
wb    0.0000000000
typeic    3.7000000000
ic0_    0.0000000000
p0_1    1.0236165566
p0_2    0.9294930026
p0_3    0.9221088535
wfh    0.0000000000
hs_wfh    1.0000000000
p0_4    1.0000000000
wfh_share    1.0000000000
Sup1    0.0000000000
SupS    0.0000000000
Tx    5.1813471503
Tl    5.1813471503
 
 parameter value - raw inputs
eta_  -1.650000000000000
crra_  0.169000000000000
crrat_  0.730000000000000
wgap_raw  -1.460000000000000
d  0.897000000000000
line  4.000000000000000
A1  -0.180000000000000
AC_sub  0.105000000000000
sel  -1.100000000000000
pid_  -1.000000000000000
PHID_  1.000000000000000
jobdif_  0.877000000000000
Jcenter  1.630000000000000
plocal_  0.500000000000000
muw  0.240000000000000
sw  -1.000000000000000
Xi  1.800000000000000
wc  2.000000000000000
LA0  0.199120000000000
 
GMM =         7.90132961
time =       111.57595110
 data and simulated moments 
scommiles      8.66691216      8.50014236
shcommiles_dif     -2.70849410     -2.68661136
swcommiles_difw     -0.29730105     -0.05373938
whours_pww_dif   -671.54653071   -727.05826610
hhours_pww   2206.54212703   2113.15555314
hhours_pwn_dif     63.10283874    226.84447915
shours   1873.12607014   1863.39133087
whwk_pww    973.91420861   1030.52084506
whwk_pwn_dif    683.00321900    660.92351983
hhwk_pww_dif   -604.50613192   -636.69009434
hhwk_pwn_difhpww    -50.52416769   -116.96015142
shwk    495.34145666    498.30331493
wlfp_dif     -0.22074336     -0.15462493
hlfp      0.97377889      0.95107613
wagegap_hw_withn     -0.24397495     -0.24397637
hdj     20.27689349     20.26275693
hdo     20.02657681     20.17002327
d_jobjob_all_psid     17.30000361     15.39107499
d_jobjob_hwithin_psid     16.26666944     14.87129260
d_jobjob_hw_actual      9.74049414     11.41777486
scity_dif      0.07038010      0.09426902
sdo_dif     -1.69306874     -1.47403760
wdo_dif      0.02794151      0.07630409
abs_hdo_wdo      1.86223858      1.87180077
betacom_w     -0.10535006     -0.12796213
betalfp_w     -0.00158860     -0.00557817
betahrs_w     -2.48452209     -2.72628923
betahrs0_w     -5.14604086     -7.66900300
betahwk_w      3.28461779      4.76272883
betacom      0.70642426      0.99832410
betalfp     -0.00192247     -0.00370874
betahrs     -4.93468120    -19.08839127
betahrs0     -5.46210312    -24.32266842
betahwk     -1.06397872      2.43699943
betalwg_w     -0.00117863     -0.00143490
sdj_dif     -1.40987482     -1.38157232
shouseexp      0.19300000      0.18521789
scity      0.39191477      0.33160533
sjobscity      0.49779057      0.60720156
p_gradient     -0.00876873     -0.00671275
p_gradient_simple      0.07276506      0.09834498
snmarried      0.14490000      0.14490204
L      0.53600000      0.54961617
clmm      0.00000000      0.00610525
 
 data and simulated moments: and dif and weighted dif 
scommiles      0.16676980     -0.35162957
shcommiles_dif     -0.02188274      0.06004267
swcommiles_difw     -0.24356167      0.02583199
whours_pww_dif     55.51173538     -0.28249745
hhours_pww     93.38657389     -0.78204689
hhours_pwn_dif   -163.74164040      0.71685076
shours      9.73473926     -0.03499179
whwk_pww    -56.60663645      0.57133151
whwk_pwn_dif     22.07969917     -0.07555629
hhwk_pww_dif     32.18396241     -0.30133969
hhwk_pwn_difhpww     66.43598373     -0.48508300
shwk     -2.96185827      0.01611551
wlfp_dif     -0.06611843      0.68096731
hlfp      0.02270276     -0.57074540
wagegap_hw_withn      0.00000142     -0.00003301
hdj      0.01413656     -0.12890713
hdo     -0.14344646      0.12742018
d_jobjob_all_psid      1.90892862     -0.54346207
d_jobjob_hwithin_psid      1.39537684     -0.39641895
d_jobjob_hw_actual     -1.67728072      0.29711049
scity_dif     -0.02388893      0.11426885
sdo_dif     -0.21903114      0.09637897
wdo_dif     -0.04836258      0.01429498
abs_hdo_wdo     -0.00956219      0.01028967
betacom_w      0.02261207     -0.03521333
betalfp_w      0.00398957     -1.63181481
betahrs_w      0.24176714     -0.40694569
betahrs0_w      2.52296214     -0.44618834
betahwk_w     -1.47811104      0.12852846
betacom     -0.29189984      0.13193048
betalfp      0.00178627     -0.10047775
betahrs     14.15371008     -0.36854430
betahrs0     18.86056530     -0.53983717
betahwk     -3.50097814      0.05875086
betalwg_w      0.00025627     -0.01337219
sdj_dif     -0.02830251      0.13288216
shouseexp      0.00778211     -0.24609199
scity      0.06030945     -0.41240820
sjobscity     -0.10941099      0.56922266
p_gradient     -0.00205598      0.04233121
p_gradient_simple     -0.02557992      0.63845713
snmarried     -0.00000204      0.00003038
L     -0.01361617      0.00259382
clmm     -0.00610525      0.19306502
 
 parameter value
wa   24.3827510790
b    0.0018814014
ce_    1.0000000000
ces_    1.0000000000
le_   12.9135215567
NLY    0.0000000000
eta_    0.1768417525
crra_    1.1841201389
crrat_    2.0750806077
crrah_    1.1841201389
pi_    0.4727163922
piw_    0.5541784037
piel_    0.4745824720
crrax_    0.6604936062
pish_    0.3809055188
wgap_raw   -0.2322362747
d   24.5223535898
line    1.9525741268
AS1    0.0000000000
A1   -0.1800000000
AC_sub    0.1050000000
sel    0.3328710837
dmin    0.0000000000
AC2    0.0000000000
pid_    0.3678794412
PHID_    2.7182818285
gamd_ 2000.0000000000
deltaw_    0.5000000000
jobdif_    2.4036778455
Jcenter    5.1038747185
plocal_    0.6224593312
Jseg    0.7055980000
muw    0.2400000000
sw    0.3678794412
Xi    6.0496474644
wc    7.3890560989
LA0    0.5496161732
THETA    1.6547049249
THETAHW    0.0000000000
sigmam    1.0000000000
lsbar    0.2671232877
MtoF    1.0000000000
sstaysingleh    0.1449000000
sstaysinglew    0.1449000000
mm    0.0000000000
wb    0.0000000000
typeic    3.7000000000
ic0_    0.0000000000
p0_1    0.9455022606
p0_2    0.8605823222
p0_3    0.8533034929
wfh    0.0000000000
hs_wfh    1.0000000000
p0_4    1.0000000000
wfh_share    1.0000000000
Sup1    0.0000000000
SupS    0.0000000000
Tx    5.1813471503
Tl    5.1813471503
 
 parameter value - raw inputs
eta_  -1.732500000000000
crra_  0.169000000000000
crrat_  0.730000000000000
wgap_raw  -1.460000000000000
d  0.897000000000000
line  4.000000000000000
A1  -0.180000000000000
AC_sub  0.105000000000000
sel  -1.100000000000000
pid_  -1.000000000000000
PHID_  1.000000000000000
jobdif_  0.877000000000000
Jcenter  1.630000000000000
plocal_  0.500000000000000
muw  0.240000000000000
sw  -1.000000000000000
Xi  1.800000000000000
wc  2.000000000000000
LA0  0.199120000000000
 
GMM =        38.46139757
time =       139.68719970
 data and simulated moments 
scommiles      8.66691216      8.53589749
shcommiles_dif     -2.70849410     -2.69452868
swcommiles_difw     -0.29730105     -0.11045855
whours_pww_dif   -671.54653071   -719.27150761
hhours_pww   2206.54212703   2133.37239626
hhours_pwn_dif     63.10283874    206.62763731
shours   1873.12607014   1887.71032687
whwk_pww    973.91420861   1019.92933716
whwk_pwn_dif    683.00321900    672.21104205
hhwk_pww_dif   -604.50613192   -629.53996424
hhwk_pwn_difhpww    -50.52416769   -114.58638872
shwk    495.34145666    493.33330495
wlfp_dif     -0.22074336     -0.14983572
hlfp      0.97377889      0.95410056
wagegap_hw_withn     -0.24397495     -0.24336006
hdj     20.27689349     20.26350307
hdo     20.02657681     20.17098713
d_jobjob_all_psid     17.30000361     15.38062488
d_jobjob_hwithin_psid     16.26666944     14.86686421
d_jobjob_hw_actual      9.74049414     11.48436624
scity_dif      0.07038010      0.09374040
sdo_dif     -1.69306874     -1.46740619
wdo_dif      0.02794151      0.07482855
abs_hdo_wdo      1.86223858      1.87610608
betacom_w     -0.10535006     -0.11846286
betalfp_w     -0.00158860     -0.00560272
betahrs_w     -2.48452209     -2.94712437
betahrs0_w     -5.14604086     -8.18847458
betahwk_w      3.28461779      4.87795763
betacom      0.70642426      0.99588168
betalfp     -0.00192247     -0.00357315
betahrs     -4.93468120    -18.86749492
betahrs0     -5.46210312    -23.94678440
betahwk     -1.06397872      2.27407791
betalwg_w     -0.00117863     -0.00138555
sdj_dif     -1.40987482     -1.37467301
shouseexp      0.19300000      0.20003708
scity      0.39191477      0.33108415
sjobscity      0.49779057      0.60755760
p_gradient     -0.00876873     -0.00653984
p_gradient_simple      0.07276506      0.09587423
snmarried      0.14490000      0.14495842
L      0.53600000      0.54961617
clmm      0.00000000      0.17525212
 
 data and simulated moments: and dif and weighted dif 
scommiles      0.13101467     -0.27624087
shcommiles_dif     -0.01396542      0.03831882
swcommiles_difw     -0.18684250      0.01981639
whours_pww_dif     47.72497690     -0.24287089
hhours_pww     73.16973077     -0.61274504
hhours_pwn_dif   -143.52479857      0.62834268
shours    -14.58425674      0.05242352
whwk_pww    -46.01512855      0.46443129
whwk_pwn_dif     10.79217695     -0.03693061
hhwk_pww_dif     25.03383232     -0.23439275
hhwk_pwn_difhpww     64.06222104     -0.46775095
shwk      2.00815171     -0.01092638
wlfp_dif     -0.07090764      0.73029236
hlfp      0.01967833     -0.49471152
wagegap_hw_withn     -0.00061489      0.01432024
hdj      0.01339042     -0.12210330
hdo     -0.14441032      0.12827636
d_jobjob_all_psid      1.91937873     -0.54643716
d_jobjob_hwithin_psid      1.39980523     -0.39767703
d_jobjob_hw_actual     -1.74387210      0.30890637
scity_dif     -0.02336031      0.11174027
sdo_dif     -0.22566255      0.09929695
wdo_dif     -0.04688704      0.01385884
abs_hdo_wdo     -0.01386750      0.01492253
betacom_w      0.01311281     -0.02042031
betalfp_w      0.00401412     -1.64185555
betahrs_w      0.46260229     -0.77865837
betahrs0_w      3.04243372     -0.53805740
betahwk_w     -1.59333984      0.13854813
betacom     -0.28945743      0.13082658
betalfp      0.00165068     -0.09285106
betahrs     13.93281372     -0.36279244
betahrs0     18.48468128     -0.52907842
betahwk     -3.33805663      0.05601683
betalwg_w      0.00020692     -0.01079723
sdj_dif     -0.03520182      0.16527488
shouseexp     -0.00703708      0.22253185
scity      0.06083062     -0.41597211
sjobscity     -0.10976702      0.57107498
p_gradient     -0.00222889      0.04589135
p_gradient_simple     -0.02310917      0.57678888
snmarried     -0.00005842      0.00087198
L     -0.01361617      0.00259382
clmm     -0.17525212      5.54195873
 
 parameter value
wa   24.3827510790
b    0.0018814014
ce_    1.0000000000
ces_    1.0000000000
le_   12.7282280126
NLY    0.0000000000
eta_    0.1920499086
